1,be,Diksmuide,15515,51.03,2.87
2,bb,Holetown,1350,13.18,-59.65
3,gb,Stourbridge,56284,52.47,-2.13
4,es,Alcudia,14436,39.85,3.12
5,be,Lochristi,19696,51.1,3.83
6,cl,Puerto Varas,24958,-41.32,-72.99
7,cz,Loket,3186,50.19,12.75
8,ee,Piira,371,59.31,26.39
9,cu,Yara,28944,20.28,-76.95
10,ba,Solina,4780,44.56,18.69
11,am,Aramus,3214,40.25,44.66
12,ca,Lavaltrie,8762,45.88,-73.28
13,ee,Mustjala,295,58.46,22.24
14,br,Palmares,41680,-8.68,-35.6
15,fr,Saint-Denis,84027,48.93,2.35
16,ee,Kabala,366,58.69,25.63
17,ch,Naters,7472,46.32,7.99
18,cn,Yian,73299,47.88,125.3
19,cz,Nachod,21196,50.42,16.17
20,br,Nova Londrina,11042,-22.75,-53
21,be,Schilde,20373,51.23,4.57
22,cm,Mokolo,275750,10.74,13.8
23,gb,Cardenden,4913,56.13,-3.25
24,be,Zonnebeke,11581,50.87,2.98
25,de,Langenau,14411,48.5,10.1
26,es,Marchena,18319,37.33,-5.42
27,dk,Hillerod,28313,55.93,12.32
28,cn,Shenzhen,1002592,22.53,114.13
29,br,Mar de Espanha,9678,-21.87,-43.01
30,cn,Jiutai,175115,44.15,125.83
31,de,Hamminkeln,27755,51.73,6.58
32,cn,Nianzishan,62131,47.52,122.88
33,de,Singen,46386,47.77,8.83
34,ca,Tuktoyaktuk,978,69.45,-133.07
35,au,Kurri Kurri,10991,-32.82,151.48
36,gb,Dunfermline,38961,56.08,-3.47
37,af,Eskasem,12120,36.71,71.57
38,es,Jodar,12031,37.84,-3.35
39,gr,Aliverion,5184,38.42,24.03
40,gr,Asini,1081,37.55,22.87
41,cu,Rancho Veloz,4549,22.88,-80.39
42,ar,Mendoza,973047,-32.89,-68.83
43,ca,Havre-Saint-Pierre,2966,50.25,-63.58
44,gh,Madina,68591,5.68,-0.17
45,dk,Rodby,2379,54.69,11.39
46,br,Lauro Muller,10036,-28.4,-49.38
47,br,Sao Sebastito,9551,-9.93,-36.57
48,eg,Rosetta,64489,31.4,30.42
49,br,Tapejara,10726,-23.68,-52.88
50,br,Guaratinga,9519,-16.57,-39.57